,Unnamed: 0,Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Humidity
55,55,Jepara,2014,30.0,37.835,12.61166666666667,77.61676518149243
56,56,Demak,2014,25421.0,34099.481,13.41390228551198,76.78216464826585
57,57,Semarang,2014,0.0,0.0,0.0,76.0
58,58,Semarang,2014,0.0,0.0,0.0,76.0
59,59,Temanggung,2014,0.0,0.0,0.0,77.82556240969635
60,60,Kendal,2014,1022.0,1206.282,11.80315068493151,80.38585352863866
61,61,Batang,2014,0.0,0.0,0.0,82.0
62,62,Pekalongan,2014,428.0,380.92,8.9,81.49243076471905
63,63,Pemalang,2014,107.0,77.417,7.235233644859813,79.70878395479684
64,64,Tegal,2014,143.0,172.948,12.09426573426573,78.0
65,65,Brebes,2014,2456.0,2800.022,11.40074104234528,77.43159424666132
66,66,Kota Magelang,2014,0.0,0.0,0.0,77.92738170737815
67,67,Kota Surakarta,2014,0.0,0.0,0.0,79.12575231131396
68,68,Kota Salatiga,2014,0.0,0.0,0.0,80.66509598763226
69,69,Kota Semarang,2014,128.0,152.409,11.906953125,82.18380266549653
70,70,Kota Pekalongan,2014,0.0,0.0,0.0,83.32026227407026
71,71,Kota Tegal,2014,0.0,0.0,0.0,83.71286474251693
72,72,Cilacap,2015,796.0,1076.021,13.51785175879397,83.0
73,73,Banyumas,2015,187.0,92.0,4.919786096256685,81.05659442093979
74,74,Purbalingga,2015,7.0,9.556,13.65142857142857,78.70372016078363
75,75,Banjarnegara,2015,7568.222244784487,9908.087510429705,15.870410079787854,76.99898582023566
76,76,Kebumen,2015,10439.0,13619.0,13.04626879969346,77.0
77,77,Purworejo,2015,691.0,956.512,13.84243125904486,78.97065776037053
78,78,Wonosobo,2015,2.0,2.0,10.0,80.0
79,79,Magelang,2015,909.0663617817393,1145.0182717041037,8.054288360161271,78.0
80,80,Boyolali,2015,598.4783375354465,741.305358849703,8.941947078850145,76.30679944489539
81,81,Klaten,2015,112.0,120.3,10.74107142857143,75.70352478982765
82,82,Sukoharjo,2015,19.0,23.009,12.11,75.93088720187497
83,83,Wonogiri,2015,98.0,122.0,12.44897959183674,76.72959784811559
84,84,Karanganyar,2015,5.0,5.0,10.0,77.84036789562775
85,85,Sragen,2015,294.0,374.936,12.75292517006803,79.00390851148971
86,86,Grobogan,2015,22790.0,26317.0,11.54760860026327,79.96093086277966
87,87,Blora,2015,1724.0,1993.902,11.56555684454757,80.45214611657586
88,88,Rembang,2015,1961.0,2238.0,11.41254462009179,80.21826543995655
89,89,Pati,2015,9090.0,10075.22,11.08385038503851,79.0
90,90,Kudus,2015,3960.0,4528.0,11.43434343434343,77.0
91,91,Jepara,2015,24.0,30.12,12.55,75.65158244492156
92,92,Demak,2015,27447.0,34536.28,12.582897948774,74.38164600318017
93,93,Semarang,2015,39075.1195597303,49120.66828494252,12.833869293217889,72.0
94,94,Semarang,2015,30229.244317045344,37957.7336929469,13.275337533592232,69.0
95,95,Temanggung,2015,13354.246915837704,16722.002254477837,13.263967639615354,70.52402111061375
96,96,Kendal,2015,895.0,1088.0,12.15642458100559,75.05732301961172
97,97,Batang,2015,1.0,1.0,10.0,79.0
98,98,Pekalongan,2015,255.0,223.38,8.759999999999998,79.70454543220809
99,99,Pemalang,2015,14.0,12.01,8.57857142857143,78.3330491263592
100,100,Tegal,2015,58.0,61.0,10.51724137931035,77.0
101,101,Brebes,2015,1295.0,1461.857,11.28847104247104,77.20648710118498
102,102,Magelang,2015,1862.758488450343,2156.200658769829,11.652276754556441,78.0
103,103,Surakarta,2015,1548.8096588813262,1858.718108203133,11.957498240706308,79.0
104,104,Salatiga,2015,789.7059998716459,1003.8407535348704,12.06063382166623,80.0
105,105,Semarang,2015,22.0,26.0,11.81818181818182,72.0
106,106,Semarang,2015,22.0,26.0,11.81818181818182,69.0
107,107,Pekalongan,2015,2066.6830491737214,3290.5252679153587,14.231093831126307,71.5279569291649
108,108,Tegal,2015,4339.363248773379,6854.190558544806,16.583940544853412,77.0
109,109,Cilacap,2019,4165.0,6272.0,15.06,83.0
110,110,Banyumas,2019,122.0,108.0,8.86,86.18675928883295
111,111,Purbalingga,2019,-3703.8559410458124,-3093.0284227860957,6.18804504749483,86.31826985877862
112,112,Banjarnegara,2019,1.0,1.0,6.0,84.04064549933499
113,113,Kebumen,2019,10086.0,6517.0,6.46,80.0
114,114,Purworejo,2019,3437.0,3922.0,11.41,75.44068455781567
115,115,Wonosobo,2019,-3044.769326756228,277.72596030476814,15.220541741637861,74.0
116,116,Magelang,2019,-4575.287070532318,-1462.229013144828,16.592004641957313,78.0
117,117,Boyolali,2019,-2866.6612790422473,-1356.0694800220106,16.162465221298103,83.11451391524085
118,118,Klaten,2019,369.0,538.0,14.57,87.12674225878635
119,119,Sukoharjo,2019,2852.714115144806,2985.2685469918933,12.60161071879699,88.82559947293866
120,120,Wonogiri,2019,38.0,45.0,11.64,87.0
121,121,Karanganyar,2019,-7937.356065353519,-9080.408334588667,12.477592483758599,82.0
122,122,Sragen,2019,69.0,90.0,12.95,78.88087344362589
123,123,Grobogan,2019,23215.0,26837.0,11.56,78.10163977828428
124,124,Blora,2019,256.0,259.0,10.12,78.5819693911297
125,125,Rembang,2019,423.0,333.0,7.87,79.24153266931675
126,126,Pati,2019,5392.0,7179.0,13.31,79.0
127,127,Kudus,2019,5085.0,5820.0,11.45,78.0
128,128,Jepara,2019,15351.524137822249,19562.250103489627,11.214378102175173,79.62097034223058
129,129,Demak,2019,28290.0,37636.0,13.3,81.84521147898859
